DISCIPLINA;AT;AP;AE;AV;NOME;CR;SL/B;ET;PROFESSOR;ALUNOS MATRIC
HE722C;2;2;0;0;ALGORITMOS E PROGRAMACAO;5W;24/B;1;11.785;26
HE722D;2;2;0;0;ALGORITMOS E PROGRAMACAO;5W;24/B;1;11.785;30
HE822C;4;0;0;0;FUND. DA MATEMATICA p/ ENG.;5W;24/B;1;11.792;52
HF222B;2;0;0;2;FUND. DE ENG. DE SOFTWARE;5W;20/B;1;13.034;59
HE622C;2;2;0;0;LOGICA E CRIATIVIDADE;5W;17/G;1;13.070;31
HE622D;2;2;0;0;LOGICA E CRIATIVIDADE;5W;17/G;1;13.070;30
RG312A;4;0;0;0;GEOM. ANALITICA E ALG. LINEAR;5W;20/A;2;11.792;18
FU422A;1;0;0;1;INTRODUCAO GESTAO EMPRESARIAL;5W;20/A;2;45.000;1
FV722A;2;2;0;0;LABORATORIO DE PROGRAMACAO 11;5W;24/A;2;45.000;1
AB122A;2;2;0;0;PROGRAMACAO PARA WEB 1;5W;24/A;2;45.000;2
GJ922C;3;1;0;0;BANCO DE DADOS;5W;06/A;3;14.472;28
GJ922D;3;1;0;0;BANCO DE DADOS;5W;06/A;3;14.472;33
R8512D;2;2;0;0;ESTRUTURA DE DADOS 1;5W;32/B;3;14.472;27
R8512C;2;2;0;0;ESTRUTURA DE DADOS 1;5W;32/B;3;14.642;29
GB922G;2;0;0;2;ESTUDOS CONTEMPORANEOS;5W;17/G;3;12.203;71
AE422A;2;0;0;2;METODOLOGIA E PROJ. EM ENGENH.;5W;32/B;3;14.091;53
R0812C;2;2;0;0;SISTEMAS OPERACIONAIS;5W;32/B;3;13.034;24
R0812B;2;2;0;0;SISTEMAS OPERACIONAIS;5W;32/B;3;13.034;26
AB422A;1;1;0;0;ESTRUTURA DE DADOS 11;5W;20/A;4;13.034;11
AB322A;2;0;0;0;MATEMATICA DISCRETA;5W;20/A;4;14.091;14
AB522A;2;2;0;0;PROGRAMACAO ORIENT. OBJETOS 1;5W;20/A;4;14.525;10
RG712A;4;0;0;0;QUALIDADE DE SOFTWARE;5W;01/A;4;14.642;11
AC222A;2;0;0;0;ESTAGIO SUPERVISIONADO 1;5W;20/B;5;12.274;27
AC122A;3;1;0;0;PADROES DE PROJETO DE SOFTWARE;5W;20/B;5;14.642;20
AC322A;2;2;0;0;PROGRAMACAO MOBILE 1;5W;28/A;5;14.875;16
GL822B;3;1;0;0;REDES DE COMPUTADORES;5W;05/A;5;13.034;27
AC422A;4;0;0;0;REQUISITOS DE SOFTWARE;5W;06/A;5;14.525;21
GK622B;2;0;0;0;TEORIA DA COMPUTACAO;5W;20/B;5;14.776;17
AC522A;2;2;0;0;DESENVOLVIMENTO DE GAMES 1;5W;26/A;6;45.000;1
AC622A;2;2;0;0;PROGRAMACAO MOBILE 11;5W;05/A;6;13.000;6
AC822A;1;1;0;0;TESTES DE SOFTWARE;5W;26/B;6;14.525;4
AD222A;2;2;0;0;DESENVOLVIMENTO DE GAMES 11;5W;26/A;7;14.616;22
AD122A;2;0;0;0;GOVERNANCA TECNOL. INFORMACAO;5W;26/A;7;14.875;18
AC922A;2;0;0;0;MANUTENCAO DE SOFTWARE;5W;26/A;7;14.642;18
AD422A;2;2;0;0;PROJETO CONCLUSAO DE CURSO 1;5W;24/A;7;13.070;14
AD322A;3;1;0;0;SISTEMAS DISTRIBUIDOS;5W;28/A;7;13.000;19
GM722B;4;0;0;0;TOPICOS ESPEC. ENGENHARIA 1;5W;07/A;7;11.792;22
AD522A;2;2;0;0;PROJETO CONCLUSAO DE CURSO 11;5W;26/A;8;14.642;12
