class;class_type;class_group;professor;timeslot_day;timeslot;et
AC422;AT;A;14.616;Monday;17:10-18:00;5
GL822;AT;A;13.034;Monday;17:10-18:00;5
AD322;AT;A;13.07;Tuesday;18:00-18:50;7
HE822;AT;A;13.0;Monday;13:35-14:25;1
HE822;AT;B;14.616;Tuesday;18:00-18:50;1
AC322;AP;A;13.0;Tuesday;13:35-14:25;5
AC922;AT;A;14.642;Friday;18:00-18:50;7
AC122;AT;A;13.0;Tuesday;13:35-14:25;5
HE822;AT;B;11.792;Thursday;13:35-14:25;1
AD422;AV;A;14.091;Thursday;13:35-14:25;7
HE822;AT;A;11.792;Tuesday;20:55-21:45;1
GM722;AV;A;14.472;Tuesday;21:45-22:35;7
HF222;AT;B;13.0;Monday;18:00-18:50;1
GK622;AV;A;13.0;Tuesday;13:35-14:25;5
GM722;AT;A;14.875;Friday;21:45-22:35;7
HF222;AV;B;13.0;Tuesday;20:55-21:45;1
AC122;AT;A;14.642;Friday;13:35-14:25;5
HE722;AV;A;13.034;Wednesday;18:00-18:50;1
AE422;AT;A;13.07;Tuesday;12:45-13:35;3
GM722;AT;A;12.203;Monday;19:50-20:40;7
GK622;AT;A;45.0;Wednesday;17:10-18:00;5
GL822;AT;A;13.034;Wednesday;20:55-21:45;5
GJ922;AP;A;14.776;Tuesday;18:00-18:50;3
AD222;AP;A;14.091;Tuesday;21:45-22:35;7
GB922;AV;A;14.642;Wednesday;12:45-13:35;3
GB922;AV;A;14.616;Wednesday;20:55-21:45;3
HE722;AP;B;14.525;Thursday;21:45-22:35;1
HE822;AP;B;11.792;Wednesday;20:55-21:45;1
GM722;AV;A;14.776;Friday;17:10-18:00;7
GJ922;AT;B;13.07;Tuesday;17:10-18:00;3
GB922;AT;A;12.203;Monday;17:10-18:00;3
R0812;AP;B;13.034;Monday;19:50-20:40;3
AD422;AP;A;13.07;Monday;19:50-20:40;7
GB922;AV;B;14.525;Monday;18:00-18:50;3
R0812;AT;A;12.203;Monday;17:10-18:00;3
AD422;AT;A;14.875;Monday;12:45-13:35;7
HF222;AT;B;13.0;Wednesday;19:00-19:50;1
HE622;AP;A;14.472;Friday;12:45-13:35;1
HE622;AT;A;14.472;Tuesday;19:50-20:40;1
AD122;AT;A;14.776;Monday;13:35-14:25;7
AC222;AT;A;12.203;Thursday;12:45-13:35;5
AE422;AT;B;14.616;Saturday;20:55-21:45;3
AC322;AV;A;14.776;Monday;17:10-18:00;5
R0812;AP;A;13.07;Friday;20:55-21:45;3
AC922;AT;A;12.203;Saturday;19:50-20:40;7
AE422;AV;A;12.203;Monday;20:55-21:45;3
HE722;AP;B;14.776;Monday;12:45-13:35;1
GM722;AT;A;14.616;Monday;20:55-21:45;7
GJ922;AT;A;14.472;Wednesday;12:45-13:35;3
R0812;AP;A;13.034;Friday;21:45-22:35;3
AE422;AT;A;14.091;Thursday;18:00-18:50;3
GJ922;AP;A;14.472;Thursday;18:00-18:50;3
AC322;AT;A;14.091;Monday;12:45-13:35;5
R8512;AT;A;14.472;Saturday;13:35-14:25;3
GJ922;AV;B;14.642;Tuesday;21:45-22:35;3
GL822;AT;A;13.07;Tuesday;12:45-13:35;5
AC122;AV;A;14.642;Tuesday;17:10-18:00;5
HE822;AT;B;13.0;Wednesday;13:35-14:25;1
AC322;AT;A;12.274;Saturday;20:55-21:45;5
GB922;AT;B;14.776;Friday;12:45-13:35;3
HE622;AT;B;45.0;Wednesday;13:35-14:25;1
HE622;AP;B;13.07;Saturday;12:45-13:35;1
GB922;AT;A;12.203;Wednesday;13:35-14:25;3
GJ922;AP;B;13.07;Friday;19:00-19:50;3
R0812;AT;A;13.034;Wednesday;20:55-21:45;3
AD122;AT;A;13.07;Tuesday;19:50-20:40;7
HE622;AP;A;14.525;Wednesday;17:10-18:00;1
AD222;AP;A;14.616;Friday;12:45-13:35;7
HF222;AT;A;14.616;Tuesday;20:55-21:45;1
HE822;AT;A;11.792;Saturday;13:35-14:25;1
AE422;AT;B;11.785;Monday;19:00-19:50;3
R8512;AP;A;14.091;Saturday;19:00-19:50;3
AC222;AT;A;11.792;Wednesday;19:50-20:40;5
AD422;AT;A;14.525;Friday;20:55-21:45;7
HE622;AP;B;14.776;Monday;18:00-18:50;1
R8512;AT;B;45.0;Wednesday;12:45-13:35;3
AC222;AP;A;11.785;Saturday;20:55-21:45;5
AD322;AT;A;13.034;Friday;19:50-20:40;7
AD422;AP;A;14.875;Thursday;18:00-18:50;7
AC122;AT;A;13.034;Wednesday;19:00-19:50;5
AD322;AT;A;14.776;Wednesday;20:55-21:45;7
GB922;AP;B;12.203;Thursday;17:10-18:00;3
HE622;AT;B;13.07;Friday;18:00-18:50;1
R8512;AT;A;14.875;Monday;18:00-18:50;3
AC122;AP;A;14.642;Monday;18:00-18:50;5
AE422;AV;A;12.274;Monday;17:10-18:00;3
GB922;AV;B;45.0;Saturday;17:10-18:00;3
GM722;AT;A;14.776;Monday;19:00-19:50;7
HF222;AV;A;14.616;Friday;19:00-19:50;1
GK622;AV;A;14.776;Tuesday;21:45-22:35;5
AD322;AP;A;14.875;Tuesday;20:55-21:45;7
GB922;AT;B;12.203;Monday;18:00-18:50;3
GJ922;AT;B;14.776;Friday;13:35-14:25;3
GJ922;AT;B;14.616;Friday;19:00-19:50;3
R8512;AP;B;14.642;Wednesday;12:45-13:35;3
HE722;AT;B;11.785;Friday;12:45-13:35;1
AE422;AV;B;14.616;Wednesday;17:10-18:00;3
HE822;AT;A;12.203;Friday;21:45-22:35;1
GJ922;AT;A;13.034;Wednesday;21:45-22:35;3
AC422;AT;A;14.525;Wednesday;19:50-20:40;5
HE622;AT;A;13.07;Saturday;12:45-13:35;1
R0812;AT;B;13.0;Wednesday;18:00-18:50;3
AC422;AT;A;14.642;Monday;21:45-22:35;5
AD322;AP;A;11.785;Saturday;17:10-18:00;7
AD422;AT;A;14.472;Monday;20:55-21:45;7
GK622;AT;A;14.776;Monday;18:00-18:50;5
AD222;AT;A;14.616;Monday;20:55-21:45;7
R0812;AT;B;11.792;Tuesday;18:00-18:50;3
R8512;AT;B;14.472;Tuesday;17:10-18:00;3
R8512;AP;B;13.07;Saturday;20:55-21:45;3
AD222;AT;A;14.616;Monday;20:55-21:45;7
R0812;AP;B;11.785;Thursday;13:35-14:25;3
